"id","arquivo","titulo","autores","ano","abstract","keywords","doi","num_paginas","caminho_pdf"
"1","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","","2023","Throughout controlled experimentation, it is possible to provide evidence of the software being developed. In the academic envi- ronment, Experimentation in Software Engineering (ESE) is essen- tial to understanding cause-effect relations, enabling a vision of the development process, and taking action on actual events in the software industry. As much as the experimentation processes have been used in industry and academia, there is a lack of for- malization of the principles of ESE teaching and artifacts that can be useful to support it in higher education. One of the means to contribute to ","Teaching of Controlled Experimentation, Controlled Experimenta- tion, TAM Model, Conceptual Modeling, Concepts ACM Reference Format: Carlos D. Luz, Edson OliveiraJr, and Igor Steinmacher.","10.1145/3613372.3614202","10","Artigos/A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf"
"2","A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf","Technical Report, Simula Research Laboratory, number 2011-13","","2011","Randomized algorithms have been used to successfully address many different types of software engi- neering problems. This type of algorithms entail a signiﬁcant degree of randomness as part of their logic. Randomized algorithms are useful to address difﬁcult problems where a precise solution cannot be derived in a deterministic way within reasonable time. However, randomized algorithms can produce different results on every run when applied to the same problem instance. It is hence important to assess the effectiveness of randomized algorithms by collecting data from a large enough number of ","","","29","Artigos/A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf"
"3","A Large-Scale Empirical Study of AI-Generated Code in.pdf","A Large-Scale Empirical Study of AI-Generated Code in Real-World Repositories","Tianhao Mao; Dongfang Zhao; Haixu Tang; Xiaofeng Wang; Hang Zhang","2026","Large language models (LLMs) are increasingly used in software development, generating code that ranges from short snippets to substantial project components. As AI-generated code becomes more common in real-world repositories, it is important to under- stand how it differs from human-written code and how AI assistance may influence development practices. However, existing studies have largely relied on small-scale or controlled settings, leaving a limited understanding of AI-generated code in the wild. In this work, we present a large-scale empirical study of AI- generated code collected from","","10.1145/nnnnnnn.nnnnnnn","12","Artigos/A Large-Scale Empirical Study of AI-Generated Code in.pdf"
"4","A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf","A Quality Model-based Approach for Measuring User Interface Aesthetics with Grace","Mathieu Zen","2023","","and Phrases: Aesthetics, Graphical User Interfaces, Software measurement, User interface evaluation, Usability engineering, Visual measures, Visual techniques.","10.1145/3593224","47","Artigos/A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf"
"5","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","A Review and Analysis of Software Complexity Metrics in Structural Testing","","","Software metrics is developed and used by the various software organizations for evaluating and assuring software code quality, operation, and maintenance. Software metrics measure various types of software complexity like size metrics, control flow metrics and data flow metrics. These software complexities must be continuously calculated, followed, and controlled. One of the main objectives of software metrics is that applies to a process and product metrics. It is always considered that high degree of complexity in a module is bad in comparison to a low degree of complexity in a module. Soft","","","5","Artigos/A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf"
"6","A Study on Software Metrics and its Impact on Software Quality.pdf","2-815-A Study on Software Metrics and its Impact on Software Quality.cdr","khalil","","Software metrics offer a quantitative basis for predicting the software development process. In this way, software quality can be improved very easily. Software quality should be achieved to satisfy the customer with decreasing the software cost and improve there liability of the software product. In this research, we have discussed how the software metrics affect the quality of the software and which stages of its development software metrics have applied. We discussed the different software metrics and how these metrics have an impact on software quality and reliability. These techniques hav","Data stream mining, In-process metrics, defect severity, Test coverage, McCabe, STREW-H, Software Quality, In-process Measurements, Testing Metrics, software complexity. I. INTRODUCTION","","14","Artigos/A Study on Software Metrics and its Impact on Software Quality.pdf"
"7","A Survey of Controlled Experiments in Software Engineering..pdf","A Survey of Controlled Experiments","","2002","The classical method for identifying cause-effect relationships is to conduct controlled experiments. This paper reports upon the present state of how controlled experiments in software engineering are conducted and the extent to which relevant information is reported. Among the 5,453 scientific articles published in 12 leading software engineering journals and conferences in the decade from 1993 to 2002, 103 articles (1.9 percent) reported controlled experiments in which individuals or teams performed one or more software engineering tasks. This survey quantitatively characterizes the topics ","","","21","Artigos/A Survey of Controlled Experiments in Software Engineering..pdf"
"8","A Systematic Review of Productivity Factors in Software Development.pdf","arXiv:1801.06475v1  [cs.SE]  19 Jan 2018","","2018","Analysing and improving productivity has been one of the main goals of software engineering research since its beginnings. A plethora of studies has been conducted on various factors that resulted in several models for analysis and prediction of productivity. However, productivity is still an issue in current software development and not all factors and their relationships are known. This paper reviews the large body of available literature in order to distill a list of the main factors inﬂuencing productivity investigated so far. The measure for importance here is the number of articles a fac","","","6","Artigos/A Systematic Review of Productivity Factors in Software Development.pdf"
"9","A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf","A Tale of Two Cities: Software Developers Working from","","2021","","and Phrases: COVID-19, work from home","10.1145/3487567","37","Artigos/A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf"
"10","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","ae","2013","Reliable empirical models such as those used in software effort estimation or defect prediction are inherently dependent on the data from which they are built. As demands for process and product improvement continue to grow, the quality of the data used in measurement and prediction systems warrants increasingly close scrutiny. In this paper we propose a taxonomy of data quality challenges in empirical software engineering, based on an extensive review of prior research. We consider current assessment techniques for each quality issue and proposed mechanisms to address these issues, where avai","data quality; provenance; commercial sensitivity; accessibility; trustworthiness; empirical software engineering","10.1109/ASWEC.2013.21","12","Artigos/A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf"
"11","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","","2020","","listed above, for each of the chosen digital libraries. 2.1.","10.1155/2020/8840389","26","Artigos/A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf"
"12","A large-scale empirical study on self-admitted technical debt.pdf","A Large-Scale Empirical Study on Self-Admitted Technical Debt","Gabriele Bavota, Barbara Russo","2016","ing with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior speciﬁc permission and/or a fee. Request permissions from permissions@acm.org. MSR’16, May 14-15, 2016, Austin, TX, USA c⃝2016 ACM. ISBN 978-1-4503-4186-8/16/05...$15.00 DOI: http://dx.doi.org/10.1145/2901739.2901742 1. INTRODUCTION Ward Cunningham coined the technical debt metaphor back in 1993 [14] to explain the unavoidable interests (i.e., maintenance and evolution costs) developers pay while work- ing on not-quite-right code, possibly written in a rush to meet a de","Mining Software Repositories, Technical Debt, Empirical Software Engineering Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for proﬁt or commercial advantage and that copies b","10.1145/2901739.2901742","12","Artigos/A large-scale empirical study on self-admitted technical debt.pdf"
"13","A machine learning approach to vulnerability detection combining software.pdf","A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts","Giacomo Ibba","2014","","Vulnerability detection Software metrics Topic modelling Machine learning Source code analysis Smart contracts","10.1016/j.mlwa.2025.100759","18","Artigos/A machine learning approach to vulnerability detection combining software.pdf"
"14","A preliminary GQM model to evaluate web API usability.pdf","A preliminary GQM model to evaluate web API","","","Web APIs allow easy access to a variety of resources and ser- vices, and it is because of that they have become essential for building modern applications. This generated a new business perspective, “the API economy”, and for that reason, usability now turns into a key char- acteristic for the acceptance of a web API. Although web API usabil- ity is a researched topic, no studies proposing a usability model for web APIs have been found. For that reason, this study presents a preliminary model to help standardize and facilitate web API usability assessment. Our model, based on the GQM approach,","Web API usability · Model · Metrics · GQM","","13","Artigos/A preliminary GQM model to evaluate web API usability.pdf"
"15","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","Zekun Zhang, Jian Wang, Bing Li, Liuxiaoxiao Zhang, Yu Liu, Patrick Hung","2026","","and Phrases: Microservice, anomaly detection, incompleteness, metrics","10.1145/3801729","35","Artigos/ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf"
"16","ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf","Microsoft Word - FinalPrint07.doc","eric.ferreira","2002","Statistical tools are usually used in the continuous process improvement. Particularly in the software process, the way the data are stored sometimes makes these analyses tricky. In this context, CMMI (Capability Maturity Model Integration) is used for defining software processes, the Six Sigma methodology is used for defining measurement processes and the Practical Software and Systems Measurement Insight (PSM Insight) tool is used for data organization. This work presents a proposal of measurement process based on CMMI, Six Sigma and PSM. The considered process reveals an existing correspond","Six Sigma; Statistics; Software Process.","","11","Artigos/ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf"
"17","A_Framework_for_Automating_the_Measurement_of_DevOps_Research_and_Assessment_DORA_Metrics.pdf","A Framework for Automating the Measurement of DevOps Research and Assessment (DORA) Metrics","","","The DevOps Research and Assessment (DORA) metrics have been widely accepted by the software industry as a powerful method to quantify DevOps performance, leading to signiﬁcant interest in their measurement. Existing proprietary solutions are highly customised, and require speciﬁc types of cloud infrastructure, limiting their suitability for projects such as libraries, frameworks, and open source projects. To address this gap, we present a framework which operationalizes the DORA metrics independently of a project’s software development life-cycle or type of deployment. We demonstrate the gener","","","11","Artigos/A_Framework_for_Automating_the_Measurement_of_DevOps_Research_and_Assessment_DORA_Metrics.pdf"
"18","A_study_of_component_based_software_system_metrics.pdf","A study of component based software system metrics","","2016","The term metrics is basically a quantitative measure of extent to which given attributes influenced by a system, component or a process. Metrics are required to measure software quality, improve software quality and to predict software quality. There are various approaches available to develop a software metrics like object oriented approach, component based approach, distributed approach. Component based software engineering is a latest approach in developing software. The main function of component based metrics is to provide reusability and decrease cost and development time. These metrics ","","","5","Artigos/A_study_of_component_based_software_system_metrics.pdf"
"19","Adjustment_Level_Metrics_for_Requirements_in_Project_Management.pdf","Adjustment Level Metrics for Requirements in Project Management","","2021","The correct and complete definition of the requirements that are part of the scope of a project is crucial for its successful management. They are usually expressed through a set of raw data and originate from different documents. This article presents a proposal of metrics to determine the degree of completeness of the requirements. Such metrics are based on the combination of simple mathematical models with natural language processing techniques to analyze the degree of completeness and estimation of activities, and the degree of estimation of costs and human resources. This paper describes ","","10.1109/ISCMI53840.2021.9654823","10","Artigos/Adjustment_Level_Metrics_for_Requirements_in_Project_Management.pdf"
"20","An Empirical Validation of Cognitive Complexity as a Measure.pdf","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","Marvin Muñoz Barón, Marvin Wyrich, and Stefan Wagner","2020","Background: Developers spend a lot of their time on understand- ing source code. Static code analysis tools can draw attention to code that is difficult for developers to understand. However, most of the findings are based on non-validated metrics, which can lead to confusion and code, that is hard to understand, not being identified. Aims: In this work, we validate a metric called Cognitive Complexity which was explicitly designed to measure code understandability and which is already widely used due to its integration in well- known static code analysis tools. Method: We conducted a systemat","cognitive complexity, source code understandability, source code comprehension, software metrics, meta-analysis ACM Reference Format: Marvin Muñoz Barón, Marvin Wyrich, and Stefan Wagner.","10.1145/3382494.3410636","12","Artigos/An Empirical Validation of Cognitive Complexity as a Measure.pdf"
"21","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","An External Replication on the Effects of Test-driven","","","Context: Test-driven development (TDD) is an agile prac- tice claimed to improve the quality of a software product, as well as the productivity of its developers. A previous study (i.e., baseline experiment) at the University of Oulu (Finland) compared TDD to a test-last development (TLD) approach through a randomized controlled trial. The results failed to support the claims. Goal: We want to validate the original study results by replicating it at the Univer- sity of Basilicata (Italy), using a diﬀerent design. Method: We replicated the baseline experiment, using a crossover de- sign, with 2","test-driven development, external experiment replication, blind analysis","10.1145/2961111.2962592","10","Artigos/An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf"
"22","An_Empirical_Investigation_of_Factors_Causing_Scop.pdf","An Empirical Investigation of Factors Causing Scope Creep in Agile Global Software Development Context: A Conceptual Model for Project Managers","","2021","","","10.1109/ACCESS.2021.3100779","34","Artigos/An_Empirical_Investigation_of_Factors_Causing_Scop.pdf"
